station,latitude,longitude,time,temperature,precipitation,humidity,wind_speed
北京,39.9042,116.4074,2026-08-01 00:00,26.4,0.0,61,2.8
北京,39.9042,116.4074,2026-08-01 06:00,24.1,0.2,68,2.1
北京,39.9042,116.4074,2026-08-01 12:00,31.6,0.0,49,3.4
上海,31.2304,121.4737,2026-08-01 00:00,28.2,1.4,78,3.6
上海,31.2304,121.4737,2026-08-01 06:00,27.0,4.8,84,4.1
上海,31.2304,121.4737,2026-08-01 12:00,32.5,0.6,70,3.9
广州,23.1291,113.2644,2026-08-01 00:00,27.8,6.2,86,2.4
广州,23.1291,113.2644,2026-08-01 06:00,26.9,8.5,90,2.0
广州,23.1291,113.2644,2026-08-01 12:00,33.1,1.1,72,3.2
成都,30.5728,104.0668,2026-08-01 00:00,24.6,0.8,77,1.6
成都,30.5728,104.0668,2026-08-01 12:00,30.2,0.0,58,2.2
西安,34.3416,108.9398,2026-08-01 00:00,23.5,0.0,55,2.7
西安,34.3416,108.9398,2026-08-01 12:00,32.8,0.0,36,3.8
武汉,30.5928,114.3055,2026-08-01 00:00,27.1,2.3,80,2.5
武汉,30.5928,114.3055,2026-08-01 12:00,34.4,0.4,61,3.1
哈尔滨,45.8038,126.5349,2026-08-01 00:00,18.4,0.0,62,3.3
哈尔滨,45.8038,126.5349,2026-08-01 12:00,26.7,0.0,44,4.0
乌鲁木齐,43.8256,87.6168,2026-08-01 00:00,21.2,0.0,38,4.6
昆明,25.0389,102.7183,2026-08-01 12:00,24.8,1.6,66,2.9
拉萨,29.6525,91.1721,2026-08-01 12:00,22.1,0.3,41,3.5
